incon_acc,con_acc,perf,num_trials,StudyID
0.7692307692307693,1,-0.23076923076923073,27,9
0.7142857142857143,0.9285714285714286,-0.2142857142857143,28,24
0.6923076923076923,1,-0.3076923076923077,27,56
0.9285714285714286,1,-0.0714285714285714,27,64
0.9285714285714286,0.9230769230769232,0.00549450549450547,27,66
1,0.9285714285714286,0.0714285714285714,28,68
0.9285714285714286,0.6923076923076923,0.2362637362637363,27,74
0.9285714285714286,1,-0.0714285714285714,28,82
0.9230769230769232,1,-0.07692307692307687,27,89
0.8461538461538461,1,-0.15384615384615383,27,111
1,1,0,27,119
1,1,0,27,125
1,1,0,26,129
0.9285714285714286,1,-0.0714285714285714,28,130
1,1,0,27,140
0.9285714285714286,1,-0.0714285714285714,28,141
1,1,0,28,143
0.6428571428571429,0.8571428571428571,-0.2142857142857142,28,146
0.9230769230769232,0.9285714285714286,-0.00549450549450547,27,155
1,0.9285714285714286,0.0714285714285714,27,1
0.8461538461538461,1,-0.15384615384615383,27,3
0.9285714285714286,1,-0.0714285714285714,28,22
1,0.9285714285714286,0.0714285714285714,27,33
0.8571428571428571,1,-0.1428571428571429,28,37
0.8571428571428571,0.8571428571428571,0,28,43
1,0.9230769230769232,0.07692307692307687,27,51
0.9285714285714286,1,-0.0714285714285714,27,58
1,0.9230769230769232,0.07692307692307687,27,67
1,0.9285714285714286,0.0714285714285714,28,69
1,0.9285714285714286,0.0714285714285714,28,77
1,1,0,28,83
1,1,0,28,86
0.8461538461538461,1,-0.15384615384615383,27,95
0.6923076923076923,1,-0.3076923076923077,27,96
0.9285714285714286,0.9230769230769232,0.00549450549450547,27,103
0.7857142857142857,0.9230769230769232,-0.13736263736263743,27,116
0.9285714285714286,1,-0.0714285714285714,28,121
1,1,0,26,131
0.7857142857142857,0.9285714285714286,-0.1428571428571429,28,117
1,0.9230769230769232,0.07692307692307687,27,2
1,1,0,28,6
0.8461538461538461,1,-0.15384615384615383,27,10
0.8571428571428571,1,-0.1428571428571429,28,19
1,1,0,27,26
0.9285714285714286,1,-0.0714285714285714,28,45
0.7692307692307693,1,-0.23076923076923073,27,48
1,0.9230769230769232,0.07692307692307687,27,50
0.9230769230769232,1,-0.07692307692307687,27,57
0.7692307692307693,1,-0.23076923076923073,27,73
0.9285714285714286,0.9285714285714286,0,28,78
0.7142857142857143,1,-0.2857142857142857,27,90
0.9230769230769232,1,-0.07692307692307687,27,91
0.7857142857142857,0.7857142857142857,0,28,97
1,1,0,28,104
1,1,0,28,112
1,0.9285714285714286,0.0714285714285714,27,132
0.9230769230769232,0.9285714285714286,-0.00549450549450547,27,133
1,1,0,27,4
1,1,0,28,8
1,1,0,27,18
1,1,0,27,21
0.9285714285714286,1,-0.0714285714285714,28,34
1,1,0,28,36
0.9285714285714286,1,-0.0714285714285714,28,38
0.8571428571428571,1,-0.1428571428571429,27,42
1,1,0,28,46
0.7692307692307693,1,-0.23076923076923073,27,55
0.8571428571428571,0.8461538461538461,0.01098901098901095,27,62
1,1,0,26,75
0.9230769230769232,0.9285714285714286,-0.00549450549450547,27,79
0.9230769230769232,1,-0.07692307692307687,27,87
0.8571428571428571,1,-0.1428571428571429,28,105
1,1,0,27,120
1,1,0,28,122
1,1,0,27,134
0.9230769230769232,0.9285714285714286,-0.00549450549450547,27,126
1,1,0,27,14
1,1,0,27,20
1,1,0,27,27
1,1,0,28,28
0.9285714285714286,1,-0.0714285714285714,28,35
0.9230769230769232,1,-0.07692307692307687,27,47
1,1,0,28,70
1,1,0,27,85
0.8571428571428571,0.7857142857142857,0.0714285714285714,28,101
1,0.9285714285714286,0.0714285714285714,27,102
1,0.9230769230769232,0.07692307692307687,27,109
0.9230769230769232,0.9285714285714286,-0.00549450549450547,27,113
1,0.9230769230769232,0.07692307692307687,27,118
1,1,0,27,135
1,1,0,27,137
1,1,0,28,142
0.8571428571428571,1,-0.1428571428571429,28,148
1,1,0,28,153
1,1,0,28,157
1,1,0,28,158
0.8461538461538461,1,-0.15384615384615383,27,159
0.7857142857142857,1,-0.2142857142857143,27,107
0.9230769230769232,1,-0.07692307692307687,27,161
0.8461538461538461,1,-0.15384615384615383,27,12
0.9285714285714286,1,-0.0714285714285714,27,15
1,1,0,27,17
1,1,0,27,30
0.9285714285714286,0.9285714285714286,0,28,39
0.9285714285714286,1,-0.0714285714285714,27,53
1,1,0,28,54
0.9230769230769232,1,-0.07692307692307687,27,71
0.8571428571428571,1,-0.1428571428571429,28,80
0.6923076923076923,1,-0.3076923076923077,27,84
0.9285714285714286,0.9230769230769232,0.00549450549450547,27,92
1,1,0,28,93
1,1,0,28,94
0.7692307692307693,0.9285714285714286,-0.15934065934065933,27,98
0.7857142857142857,1,-0.2142857142857143,28,99
1,1,0,27,100
0.8571428571428571,1,-0.1428571428571429,27,106
0.9285714285714286,0.7857142857142857,0.1428571428571429,28,110
0.9285714285714286,0.8461538461538461,0.08241758241758246,27,127
0.9230769230769232,1,-0.07692307692307687,27,128
0.8571428571428571,1,-0.1428571428571429,28,11
0.9285714285714286,1,-0.0714285714285714,28,23
0.8571428571428571,1,-0.1428571428571429,28,31
1,0.9285714285714286,0.0714285714285714,28,41
1,0.9230769230769232,0.07692307692307687,26,44
1,1,0,27,52
0.8571428571428571,0.9285714285714286,-0.07142857142857151,28,59
0.7142857142857143,1,-0.2857142857142857,28,61
0.4615384615384616,0.8571428571428571,-0.39560439560439553,27,65
0.9285714285714286,1,-0.0714285714285714,27,72
1,1,0,28,108
0.8571428571428571,1,-0.1428571428571429,28,123
0.9285714285714286,0.9285714285714286,0,28,144
0.9285714285714286,0.8461538461538461,0.08241758241758246,27,145
1,1,0,26,149
1,0.9230769230769232,0.07692307692307687,27,150
0.9285714285714286,1,-0.0714285714285714,28,154
1,1,0,28,160
1,1,0,27,7
1,1,0,28,13
1,1,0,27,16
0.9285714285714286,1,-0.0714285714285714,27,25
0.9285714285714286,1,-0.0714285714285714,28,29
0.9230769230769232,1,-0.07692307692307687,27,32
1,0.9285714285714286,0.0714285714285714,28,40
1,1,0,27,49
0.9285714285714286,1,-0.0714285714285714,28,60
0.2857142857142857,0.8461538461538461,-0.5604395604395604,27,63
0.7857142857142857,1,-0.2142857142857143,28,152
1,0.9285714285714286,0.0714285714285714,27,76
0.7692307692307693,0.7142857142857143,0.05494505494505497,27,81
0.8571428571428571,0.9230769230769232,-0.06593406593406603,27,114
0.5714285714285714,0.8461538461538461,-0.27472527472527475,27,115
1,0.9230769230769232,0.07692307692307687,27,124
0.8571428571428571,1,-0.1428571428571429,28,136
1,1,0,27,138
0.7692307692307693,1,-0.23076923076923073,27,139
0.7857142857142857,1,-0.2142857142857143,27,147
1,0.9285714285714286,0.0714285714285714,28,151
1,0.9285714285714286,0.0714285714285714,28,156
